,NUTS_ID,CNTR_CODE,sector,ETS,capital_lifetime,e_95,e_21,e_hist,pop_95,pop_21,pop_50,k_95,k_15,hdi,threshold_epc
265,BE22,BE,SWD_INC,1,24,43.3804655,11.75874248,915.5253371,771613,883228,860427,,,,
266,BE22,BE,SWD_LDF,0,24,107.810132,35.15544027,1675.294851,771613,883228,860427,,,,
267,BE22,BE,TNR,0,26,18.0058331,12.49184699,400.6828602,771613,883228,860427,,,,
268,BE22,BE,TRF,1,34,0,0,15.91447683,771613,883228,860427,,,,
269,BE22,BE,TRO,0,16,1935.21504,2120.792654,58547.35689,771613,883228,860427,,,,
270,BE22,BE,WWT,0,24,105.7126437,84.16797491,2333.91767,771613,883228,860427,,,,
271,BE23,BE,AGS,0,23,197.4153296,188.1638097,5173.071624,1349382,1533876,1583797,,,,
272,BE23,BE,AWB,0,23,0.820460303,0.951641535,27.93553577,1349382,1533876,1583797,,,,
273,BE23,BE,CHE,1,36,322.0244916,475.0434817,13435.88013,1349382,1533876,1583797,,,,
274,BE23,BE,ENE,1,34,2521.589659,3047.355089,87766.98169,1349382,1533876,1583797,,,,
275,BE23,BE,ENF,0,23,875.4788758,654.0729093,20177.84543,1349382,1533876,1583797,,,,
276,BE23,BE,IDE,0,15,46.83530244,22.5940187,949.2816138,1349382,1533876,1583797,,,,
277,BE23,BE,IND,1,15,4805.655266,2935.299151,107031.5364,1349382,1533876,1583797,,,,
