"NUTS_ID","ISO","sector","sect_b"
"BG31","BGR","ENE",0.001259149788493313
"BG31","BGR","IND",0.003738717171198344
"BG31","BGR","NMM",0.004847478143840609
"BG31","BGR","PRO",4.0269651457999073e-4
"BG31","BGR","SWD_INC",0.0010637554355211888
"BG31","BGR","TRF",0.001047406070443944
"BG32","BGR","CHE",0.0012741650833492312
"BG32","BGR","ENE",0.021683213738352473
"BG32","BGR","IND",0.001956418851302197
"BG32","BGR","NMM",0.0013008480709965117
"BG32","BGR","PRO",7.204701547965239e-5
"BG32","BGR","SWD_INC",0.0011479340967454276
"BG32","BGR","TRF",0.0011289858394691503
"BG33","BGR","CHE",0.0027705031511163947
"BG33","BGR","ENE",0.025681063615888195
"BG33","BGR","IND",0.006620305569175095
"BG33","BGR","NMM",0.005425494613737297
"BG33","BGR","PRO",2.374855867826712e-4
"BG33","BGR","SWD_INC",0.0013745567270113813
"BG33","BGR","TRF",0.0013528193874584767
"BG34","BGR","CHE",0.0029269030652662696
"BG34","BGR","ENE",0.20047907288881725
"BG34","BGR","IND",0.0023927711778919682
"BG34","BGR","NMM",0.0017695199488397013
"BG34","BGR","PRO",9.532225966476087e-4
"BG34","BGR","REF",0.014789698674200427
"BG34","BGR","SWD_INC",0.0015615140930178837
"BG34","BGR","TRF",0.001536383284909953
"BG41","BGR","CHE",0.004284529159964636
"BG41","BGR","ENE",0.047182313948364384
"BG41","BGR","IND",0.0067821995751835805
"BG41","BGR","IRO",2.787312651826875e-4
"BG41","BGR","NMM",0.00437425248014177
"BG41","BGR","PRO",0.003153870250053197
"BG41","BGR","SWD_INC",0.0038600610863412823
"BG41","BGR","TRF",0.003799530338622191
"BG42","BGR","CHE",0.006812689783058015
"BG42","BGR","ENE",0.008348128849234474
"BG42","BGR","IND",0.008609709454986385
"BG42","BGR","NFE",3.7578655821321222e-6
"BG42","BGR","NMM",0.02052151886697814
"BG42","BGR","PRO",0.004627246295702111
"BG42","BGR","SWD_INC",0.0022203416943010097
"BG42","BGR","TRF",0.002198547250513934
"CY00","CYP","CHE",0
"CY00","CYP","ENE",0.03926874936069535
"CY00","CYP","IND",0.004010317827148389
"CY00","CYP","NMM",0.014753870421192783
"CY00","CYP","PRO",6.158744074735769e-9
"CY00","CYP","REF",0
"CY00","CYP","SWD_INC",4.2107387416354927e-4
"CY00","CYP","TRF",4.13003197060808e-5
"CZ01","CZE","CHE",9.861867740131017e-4
"CZ01","CZE","ENE",0.014188440454601733
"CZ01","CZE","IND",0.0054621151333339975
"CZ01","CZE","NMM",0.002817968735390481
"CZ01","CZE","PRO",6.390620031842981e-4
"CZ01","CZE","SWD_INC",4.967788679617426e-4
"CZ01","CZE","TRF",0.0031235307232265674
"CZ02","CZE","CHE",0.0024194403990655095
"CZ02","CZE","ENE",0.09531047831214387
"CZ02","CZE","IND",0.009803506379928637
"CZ02","CZE","IRO",7.538191041425255e-5
"CZ02","CZE","NMM",0.015707230767380786
"CZ02","CZE","PRO",0.002789557701152739
"CZ02","CZE","REF",0.0032980541555804256
"CZ02","CZE","SWD_INC",1.591412826406737e-4
"CZ02","CZE","TRF",0.0073824398377539645
"CZ03","CZE","CHE",7.276471715670684e-4
"CZ03","CZE","ENE",0.027278016425923892
"CZ03","CZE","IND",0.004263043115796372
"CZ03","CZE","IRO",2.055848674472431e-5
"CZ03","CZE","NFE",1.3854077544944415e-5
"CZ03","CZE","NMM",0.0015507872341123346
"CZ03","CZE","PRO",0.0034443207455958982
"CZ03","CZE","SWD_INC",8.90110695376167e-5
"CZ03","CZE","TRF",0.005059579975463804
"CZ04","CZE","CHE",0.011913540722042914
"CZ04","CZE","ENE",0.3013180681144799
"CZ04","CZE","IND",0.012646181050418101
"CZ04","CZE","NMM",0.0036624969984640305
"CZ04","CZE","PRO",0.0015489113270526734
"CZ04","CZE","REF",0.006882899186640377
"CZ04","CZE","SWD_INC",9.547107090463769e-5
"CZ04","CZE","TRF",0.006972804484059521
"CZ05","CZE","CHE",9.240652566870549e-4
"CZ05","CZE","ENE",0.08186781588315022
"CZ05","CZE","IND",0.006164557658928549
"CZ05","CZE","NMM",0.004016143490915995
"CZ05","CZE","PRO",0.001911003007368129
"CZ05","CZE","REF",8.603612280239997e-4
"CZ05","CZE","SWD_INC",2.0900982721956636e-4
"CZ05","CZE","TRF",0.003377668812657423
"CZ06","CZE","CHE",0.0010935665995212246
"CZ06","CZE","ENE",0.019063498371803714
"CZ06","CZE","IND",0.008131206485492423
"CZ06","CZE","NMM",0.009402841492723071
"CZ06","CZE","PRO",0.0029306052088309263
"CZ06","CZE","SWD_INC",2.7535433956129575e-4
"CZ06","CZE","TRF",0.005168830743022241
"CZ07","CZE","CHE",7.74958201354784e-4
"CZ07","CZE","ENE",0.016613519690000297
"CZ07","CZE","IND",0.006561514151571597
"CZ07","CZE","NMM",0.019098502262386595
"CZ07","CZE","PRO",0.0012395456295181263
"CZ07","CZE","SWD_INC",9.479846919464113e-5
"CZ07","CZE","TRF",0.0035359103086885454
"CZ08","CZE","CHE",8.980583293885351e-4
"CZ08","CZE","ENE",0.05729989686903861
