"NUTS_ID","CNTR_CODE","sector","ETS","capital_lifetime","e_95","e_21","e_hist","pop_50","ISO","pop_21","pop_95","sect_b"
"AT31","AT","MNM",0,23,5.811624033e-4,4.593703739e-4,0.0137733696,1564507,"AUT",1453948,1360051,0.00997592486448405
"AT31","AT","N2O",0,23,8.504732874e-5,7.261641017e-5,0.0020978387039999997,1564507,"AUT",1453948,1360051,0.0015769755581629494
"AT31","AT","NEU",0,15,7.899241162e-6,2.758256945e-6,1.654418484e-4,1564507,"AUT",1453948,1360051,3.9065045100165653e-5
"AT31","AT","PRU",0,15,1.510008422e-4,3.082823915e-4,0.006435158376,1564507,"AUT",1453948,1360051,0.00436618696795647
"AT31","AT","RCO",0,20,0.00249579548,0.0014134552739999999,0.0534936543,1564507,"AUT",1453948,1360051,0.02669158826360513
"AT31","AT","SOL",0,15,1.586752556e-4,1.559222711e-4,0.0043655833560000004,1564507,"AUT",1453948,1360051,0.002208318758585327
"AT31","AT","SWD_LDF",0,24,3.1765892589999997e-4,1.20821326e-4,0.00560985232,1564507,"AUT",1453948,1360051,0.0027378975307185923
"AT31","AT","TNR",0,26,7.008985592000001e-5,1.156731226e-4,0.002889673044,1564507,"AUT",1453948,1360051,0.002839671862221325
"AT31","AT","TRO",0,16,0.002656517728,0.003792941338,0.09950719218,1564507,"AUT",1453948,1360051,0.05730050627800964
"AT31","AT","WWT",0,24,4.183943544e-4,4.99366031e-4,0.01270061051,1564507,"AUT",1453948,1360051,0.011315990880613608
"AT32","AT","AGS",0,23,6.347453431000001e-5,5.45764158e-5,0.001557979411,576733,"AUT",545815,506626,0.0011852097007722163
"AT32","AT","AWB",0,23,8.0399412e-8,9.415424e-8,2.4500113570000003e-6,576733,"AUT",545815,506626,2.0447022212996883e-6
"AT32","AT","ENF",0,23,3.644404872e-4,3.230917002e-4,0.009180521851,576733,"AUT",545815,506626,0.007016426632326202
"AT32","AT","IDE",0,15,2.658752546e-5,1.398621233e-5,6.290710647e-4,576733,"AUT",545815,506626,1.9808597471035935e-4
