"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"CZ06",1665042,1684500,1641401,88.92982594210595,116.38004371518463,"CZ","CZE",410060375.6530164,1658761,-2.102843169838371,-1.9836933533725405,-1.7258800002416503,0.10547604345733147
"CZ07",1252299,1219394,1100776,66.22039164719956,86.66082490428889,"CZ","CZE",291215950.66253704,1240355,-1.4920740526993317,-1.4075493145281555,-1.2246568282718222,0.0745049722522253
"CZ08",1285600,1213311,1036521,54.40754434037316,71.20167302352111,"CZ","CZE",291460046.78363425,1281410,-1.4804179570040574,-1.3967308370292022,-1.2156507677974382,0.07063667679686508
"DE11",3841565,4069533,4237503,164.6996560069056,236.51288848030072,"DE","DEU",1225138298.9168146,3917305,-5.231060401672949,-4.939537746757857,-4.365331059828292,0.10989120569264754
"DE12",2645136,2761977,2931812,121.66492567548033,174.71392288179672,"DE","DEU",792895307.1863687,2676257,-3.5477716403730604,-3.3472912411009954,-2.952408771696148,0.12520571725046425
"DE13",2071050,2224535,2262471,118.85468442356802,170.67834507956738,"DE","DEU",623345982.4543976,2125364,-2.7788014155862344,-2.6219426264486647,-2.3129808215669816,0.09498965295946615
"DE14",1714318,1823573,1924416,110.90416369153984,159.26119540940863,"DE","DEU",525463716.6541895,1757006,-2.3339047933015733,-2.2022992527048073,-1.9430782962077797,0.07722453657241923
"DE21",3959400,4588944,4920457,197.94123899223314,284.24864579838396,"DE","DEU",1468610263.8139696,4033643,-5.867172081613814,-5.547075887518842,-4.916588438220708,-0.0027280888782035273
"DE22",1131529,1212119,1240756,92.33150771451707,132.5903897843356,"DE","DEU",326233841.18346107,1170170,-1.5105635950549734,-1.4243764587883898,-1.2546152785261018,0.06846059471620358
"DE23",1047267,1092339,1099971,81.53802982018532,117.09068143382365,"DE","DEU",296661493.567667,1074338,-1.364756840671068,-1.2870284217695094,-1.1339282179080408,0.059296202448952284
